exp_id,system,product_mix,automation_level,caseID,product_id,product_type,created_time,shopfloor_entry_time,system_exit_time,lead_time,shopfloor_time,target_components,missing_components,disassembled_components,completion_rate,has_remains,remains_content
exp006,system_01,balanced,a02,1,prod_001_car_rd,car_rd,2025-01-01 06:00:00,2025-01-01 07:06:00,2025-01-01 10:55:36,296,230,8,0,8,100.0,False,
exp006,system_01,balanced,a02,2,prod_002_car_sa,car_sa,2025-01-01 06:01:00,2025-01-01 07:12:04,2025-01-01 10:16:30,256,184,9,0,9,100.0,False,
exp006,system_01,balanced,a02,3,prod_003_car_tl,car_tl,2025-01-01 06:02:00,2025-01-01 07:17:04,2025-01-01 09:49:22,227,152,8,0,8,100.0,False,
exp006,system_01,balanced,a02,4,prod_004_car_rd,car_rd,2025-01-01 06:03:00,2025-01-01 07:22:04,2025-01-01 11:59:16,356,277,8,0,8,100.0,False,
exp006,system_01,balanced,a02,5,prod_005_car_sa,car_sa,2025-01-01 06:04:00,2025-01-01 07:58:27,2025-01-01 13:25:00,441,327,9,0,9,100.0,False,
exp006,system_01,balanced,a02,6,prod_006_car_hd,car_hd,2025-01-01 06:05:00,2025-01-01 08:39:26,2025-01-01 15:11:53,547,392,14,0,14,100.0,False,
exp006,system_01,balanced,a02,7,prod_007_car_rd,car_rd,2025-01-01 06:06:00,2025-01-01 09:51:06,2025-01-01 15:50:59,585,360,8,0,8,100.0,False,
exp006,system_01,balanced,a02,8,prod_008_car_tl,car_tl,2025-01-01 06:07:00,2025-01-01 10:32:44,2025-01-01 14:17:37,491,225,8,0,8,100.0,False,
exp006,system_01,balanced,a02,9,prod_009_car_sa,car_sa,2025-01-02 06:00:00,2025-01-02 07:07:44,2025-01-02 09:49:50,230,162,9,0,9,100.0,False,
exp006,system_01,balanced,a02,10,prod_010_car_rd,car_rd,2025-01-02 06:01:00,2025-01-02 07:12:04,2025-01-02 10:16:58,256,185,8,0,8,100.0,False,
exp006,system_01,balanced,a02,11,prod_011_car_hd,car_hd,2025-01-02 06:02:00,2025-01-02 07:17:04,2025-01-02 12:31:56,390,315,14,0,14,100.0,False,
exp006,system_01,balanced,a02,12,prod_012_car_tl,car_tl,2025-01-02 06:03:00,2025-01-02 07:22:04,2025-01-02 10:55:35,293,214,8,0,8,100.0,False,
exp006,system_01,balanced,a02,13,prod_013_car_tl,car_tl,2025-01-02 06:04:00,2025-01-02 07:57:44,2025-01-02 12:03:45,360,246,8,0,8,100.0,False,
exp006,system_01,balanced,a02,14,prod_014_car_hd,car_hd,2025-01-02 06:05:00,2025-01-02 08:42:44,2025-01-02 15:45:30,580,423,14,0,14,100.0,False,
exp006,system_01,balanced,a02,15,prod_015_car_rd,car_rd,2025-01-02 06:06:00,2025-01-02 09:51:34,2025-01-02 16:24:51,619,393,8,0,8,100.0,False,
exp006,system_01,balanced,a02,16,prod_016_car_hd,car_hd,2025-01-02 06:07:00,2025-01-02 10:58:39,2025-01-03 08:19:04,1572,1280,14,0,14,100.0,False,
