caseID,product_type,delivery_time,condition,target_components,missing_components
1,car_rd,2025-01-01T06:00:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
2,car_sa,2025-01-01T06:01:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
3,car_tl,2025-01-01T06:02:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
4,car_rd,2025-01-01T06:03:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
5,car_sa,2025-01-01T06:04:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
6,car_hd,2025-01-01T06:05:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
7,car_rd,2025-01-01T06:06:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
8,car_tl,2025-01-01T06:07:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
9,car_sa,2025-01-02T06:00:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
10,car_rd,2025-01-02T06:01:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
11,car_hd,2025-01-02T06:02:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
12,car_tl,2025-01-02T06:03:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
13,car_tl,2025-01-02T06:04:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
14,car_hd,2025-01-02T06:05:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
15,car_rd,2025-01-02T06:06:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
16,car_hd,2025-01-02T06:07:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
17,car_sa,2025-01-03T06:00:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
18,car_tl,2025-01-03T06:01:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
19,car_rd,2025-01-03T06:02:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
20,car_sa,2025-01-03T06:03:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
21,car_sa,2025-01-03T06:04:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
22,car_hd,2025-01-03T06:05:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
23,car_sa,2025-01-03T06:06:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
24,car_sa,2025-01-03T06:07:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
25,car_tl,2025-01-04T06:00:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
26,car_hd,2025-01-04T06:01:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
27,car_hd,2025-01-04T06:02:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
28,car_rd,2025-01-04T06:03:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
29,car_tl,2025-01-04T06:04:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
30,car_tl,2025-01-04T06:05:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
31,car_sa,2025-01-04T06:06:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
32,car_hd,2025-01-04T06:07:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
33,car_tl,2025-01-05T06:00:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
34,car_hd,2025-01-05T06:01:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
35,car_rd,2025-01-05T06:02:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
36,car_hd,2025-01-05T06:03:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
37,car_sa,2025-01-05T06:04:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
38,car_rd,2025-01-05T06:05:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
39,car_rd,2025-01-05T06:06:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
40,car_tl,2025-01-05T06:07:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
