caseID,product_type,delivery_time,condition,target_components,missing_components
1,car_sa,2025-01-01T06:00:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
2,car_sa,2025-01-01T06:01:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
3,car_sa,2025-01-01T06:02:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
4,car_rd,2025-01-01T06:03:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
5,car_sa,2025-01-01T06:04:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
6,car_rd,2025-01-01T06:05:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
7,car_rd,2025-01-01T06:06:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
8,car_sa,2025-01-01T06:07:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
9,car_rd,2025-01-02T06:00:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
10,car_rd,2025-01-02T06:01:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
11,car_sa,2025-01-02T06:02:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
12,car_rd,2025-01-02T06:03:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
13,car_rd,2025-01-02T06:04:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
14,car_sa,2025-01-02T06:05:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
15,car_sa,2025-01-02T06:06:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
16,car_sa,2025-01-02T06:07:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
17,car_rd,2025-01-03T06:00:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
18,car_rd,2025-01-03T06:01:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
19,car_sa,2025-01-03T06:02:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
20,car_sa,2025-01-03T06:03:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
21,car_sa,2025-01-03T06:04:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
22,car_rd,2025-01-03T06:05:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
23,car_sa,2025-01-03T06:06:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
24,car_sa,2025-01-03T06:07:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
25,car_rd,2025-01-04T06:00:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
26,car_rd,2025-01-04T06:01:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
27,car_rd,2025-01-04T06:02:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
28,car_rd,2025-01-04T06:03:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
29,car_sa,2025-01-04T06:04:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
30,car_rd,2025-01-04T06:05:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
31,car_rd,2025-01-04T06:06:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
32,car_sa,2025-01-04T06:07:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
33,car_rd,2025-01-05T06:00:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
34,car_rd,2025-01-05T06:01:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
35,car_sa,2025-01-05T06:02:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
36,car_sa,2025-01-05T06:03:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
37,car_rd,2025-01-05T06:04:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
38,car_sa,2025-01-05T06:05:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
39,car_rd,2025-01-05T06:06:00,1.0,"{""BOSP"": 2, ""RT"": 2, ""CORE"": 1, ""BSA"": 2, ""RAX_RD"": 1}",[]
40,car_sa,2025-01-05T06:07:00,1.0,"{""RT"": 2, ""FT"": 2, ""SSA"": 2, ""BSA"": 2, ""CSEB-NABS"": 1}",[]
