caseID,objectID,object_type,object_name,delivery_time,output_time,condition,content
1,1_RT_1,component,car_sa_RT,2025-01-01T06:00:00,2025-01-01T07:34:52,1.0,car_sa_RT
1,1_RT_2,component,car_sa_RT,2025-01-01T06:00:00,2025-01-01T08:02:48,1.0,car_sa_RT
1,1_FT_1,component,car_sa_FT,2025-01-01T06:00:00,2025-01-01T08:06:08,1.0,car_sa_FT
1,1_FT_2,component,car_sa_FT,2025-01-01T06:00:00,2025-01-01T08:15:18,1.0,car_sa_FT
2,2_BOSP_1,component,car_hd_BOSP,2025-01-01T06:01:00,2025-01-01T08:19:58,1.0,car_hd_BOSP
2,2_BOSP_2,component,car_hd_BOSP,2025-01-01T06:01:00,2025-01-01T08:23:18,1.0,car_hd_BOSP
2,2_BAT,component,car_hd_BAT,2025-01-01T06:01:00,2025-01-01T08:26:38,1.0,car_hd_BAT
2,2_RT_1,component,car_hd_RT,2025-01-01T06:01:00,2025-01-01T08:29:58,1.0,car_hd_RT
1,1_SSA_1,component,car_sa_SSA,2025-01-01T06:00:00,2025-01-01T08:33:18,1.0,car_sa_SSA
2,2_RT_2,component,car_hd_RT,2025-01-01T06:01:00,2025-01-01T08:37:58,1.0,car_hd_RT
2,2_FT_1,component,car_hd_FT,2025-01-01T06:01:00,2025-01-01T08:41:18,1.0,car_hd_FT
2,2_FT_2,component,car_hd_FT,2025-01-01T06:01:00,2025-01-01T08:44:38,1.0,car_hd_FT
3,3_BOSP_1,component,car_tl_BOSP,2025-01-01T06:02:00,2025-01-01T08:49:18,1.0,car_tl_BOSP
3,3_BOSP_2,component,car_tl_BOSP,2025-01-01T06:02:00,2025-01-01T08:52:38,1.0,car_tl_BOSP
1,1_SSA_2,component,car_sa_SSA,2025-01-01T06:00:00,2025-01-01T08:55:58,1.0,car_sa_SSA
3,3_BAT,component,car_tl_BAT,2025-01-01T06:02:00,2025-01-01T09:00:38,1.0,car_tl_BAT
3,3_RT_1,component,car_tl_RT,2025-01-01T06:02:00,2025-01-01T09:03:58,1.0,car_tl_RT
3,3_RT_2,component,car_tl_RT,2025-01-01T06:02:00,2025-01-01T09:07:18,1.0,car_tl_RT
3,3_FT_1,component,car_tl_FT,2025-01-01T06:02:00,2025-01-01T09:10:38,1.0,car_tl_FT
1,1_BSA_1,component,car_sa_BSA,2025-01-01T06:00:00,2025-01-01T09:13:58,1.0,car_sa_BSA
3,3_FT_2,component,car_tl_FT,2025-01-01T06:02:00,2025-01-01T09:18:38,1.0,car_tl_FT
3,3_CRE,component,car_tl_CRE,2025-01-01T06:02:00,2025-01-01T09:21:58,1.0,car_tl_CRE
8,8_BOSP_1,component,car_rd_BOSP,2025-01-01T06:07:00,2025-01-01T09:25:18,1.0,car_rd_BOSP
8,8_BOSP_2,component,car_rd_BOSP,2025-01-01T06:07:00,2025-01-01T09:28:38,1.0,car_rd_BOSP
1,1_BSA_2,component,car_sa_BSA,2025-01-01T06:00:00,2025-01-01T09:31:58,1.0,car_sa_BSA
1,1_CSEB-NABS,component,car_sa_CSEB-NABS,2025-01-01T06:00:00,2025-01-01T09:35:18,1.0,car_sa_CSEB-NABS
2,2_SSA_1,component,car_hd_SSA,2025-01-01T06:01:00,2025-01-01T09:39:58,1.0,car_hd_SSA
8,8_RT_1,component,car_rd_RT,2025-01-01T06:07:00,2025-01-01T09:44:38,1.0,car_rd_RT
6,6_RT_1,component,car_sa_RT,2025-01-01T06:05:00,2025-01-01T09:47:58,1.0,car_sa_RT
2,2_SSA_2,component,car_hd_SSA,2025-01-01T06:01:00,2025-01-01T09:52:38,1.0,car_hd_SSA
2,2_FAX,component,car_hd_FAX,2025-01-01T06:01:00,2025-01-01T09:55:58,1.0,car_hd_FAX
6,6_RT_2,component,car_sa_RT,2025-01-01T06:05:00,2025-01-01T09:59:18,1.0,car_sa_RT
8,8_RT_2,component,car_rd_RT,2025-01-01T06:07:00,2025-01-01T10:03:58,1.0,car_rd_RT
8,8_CORE,component,car_rd_CORE,2025-01-01T06:07:00,2025-01-01T10:07:18,1.0,car_rd_CORE
6,6_FT_1,component,car_sa_FT,2025-01-01T06:05:00,2025-01-01T10:11:58,1.0,car_sa_FT
2,2_CHS,component,car_hd_CHS,2025-01-01T06:01:00,2025-01-01T10:16:38,1.0,car_hd_CHS
8,8_BSA_1,component,car_rd_BSA,2025-01-01T06:07:00,2025-01-01T10:21:18,1.0,car_rd_BSA
6,6_FT_2,component,car_sa_FT,2025-01-01T06:05:00,2025-01-01T10:25:58,1.0,car_sa_FT
