exp_id,system,product_mix,automation_level,station_id,runtime_minutes,waiting_time_minutes,closed_time_minutes,total_simulation_time_minutes,factory_open_time_minutes,utilization_rate_running,utilization_rate_waiting,utilization_rate_closed
exp001,system_01,hd,a00,ws-03_S1toS4,2970,1230,5880,10080,4200,29.46,12.2,58.33
exp001,system_01,hd,a00,ws-04_S5S7,944,3256,5880,10080,4200,9.37,32.3,58.33
exp001,system_01,hd,a00,ws-05_S6S8,3588,612,5880,10080,4200,35.6,6.07,58.33
exp002,system_01,hd,a02,ws-03_S1toS4,2248,1952,5880,10080,4200,22.3,19.37,58.33
exp002,system_01,hd,a02,ws-04_S5S7,944,3256,5880,10080,4200,9.37,32.3,58.33
exp002,system_01,hd,a02,ws-05_S6S8,3610,590,5880,10080,4200,35.81,5.85,58.33
exp003,system_01,hd,a04,ws-03_S1toS4,2248,1952,5880,10080,4200,22.3,19.37,58.33
exp003,system_01,hd,a04,ws-04_S5S7,1124,3076,5880,10080,4200,11.15,30.52,58.33
exp003,system_01,hd,a04,ws-05_S6S8,3317,883,5880,10080,4200,32.91,8.76,58.33
exp004,system_01,hd,a06,ws-03_S1toS4,2248,1952,5880,10080,4200,22.3,19.37,58.33
exp004,system_01,hd,a06,ws-04_S5S7,652,3548,5880,10080,4200,6.47,35.2,58.33
exp004,system_01,hd,a06,ws-05_S6S8,3003,1197,5880,10080,4200,29.79,11.88,58.33
exp005,system_01,balanced,a00,ws-03_S1toS4,2315,1885,5880,10080,4200,22.97,18.7,58.33
exp005,system_01,balanced,a00,ws-04_S5S7,444,3756,5880,10080,4200,4.4,37.26,58.33
exp005,system_01,balanced,a00,ws-05_S6S8,2344,1856,5880,10080,4200,23.25,18.41,58.33
exp006,system_01,balanced,a02,ws-03_S1toS4,1813,2387,5880,10080,4200,17.99,23.68,58.33
exp006,system_01,balanced,a02,ws-04_S5S7,444,3756,5880,10080,4200,4.4,37.26,58.33
exp006,system_01,balanced,a02,ws-05_S6S8,2344,1856,5880,10080,4200,23.25,18.41,58.33
exp007,system_01,balanced,a04,ws-03_S1toS4,1813,2387,5880,10080,4200,17.99,23.68,58.33
exp007,system_01,balanced,a04,ws-04_S5S7,444,3756,5880,10080,4200,4.4,37.26,58.33
exp007,system_01,balanced,a04,ws-05_S6S8,1592,2608,5880,10080,4200,15.79,25.87,58.33
exp008,system_01,balanced,a06,ws-03_S1toS4,1813,2387,5880,10080,4200,17.99,23.68,58.33
exp008,system_01,balanced,a06,ws-04_S5S7,293,3907,5880,10080,4200,2.91,38.76,58.33
exp008,system_01,balanced,a06,ws-05_S6S8,1514,2686,5880,10080,4200,15.02,26.65,58.33
exp009,system_02,hd,a00,ws-01_S1toS8,1932,2268,5880,10080,4200,19.17,22.5,58.33
exp009,system_02,hd,a00,ws-02_S1toS8,1932,2268,5880,10080,4200,19.17,22.5,58.33
exp009,system_02,hd,a00,ws-03_S1toS8,1932,2268,5880,10080,4200,19.17,22.5,58.33
exp009,system_02,hd,a00,ws-04_S1toS8,1932,2268,5880,10080,4200,19.17,22.5,58.33
exp010,system_02,hd,a02,ws-01_S1toS8,1774,2426,5880,10080,4200,17.6,24.07,58.33
exp010,system_02,hd,a02,ws-02_S1toS8,1774,2426,5880,10080,4200,17.6,24.07,58.33
exp010,system_02,hd,a02,ws-03_S1toS8,1774,2426,5880,10080,4200,17.6,24.07,58.33
exp010,system_02,hd,a02,ws-04_S1toS8,1774,2426,5880,10080,4200,17.6,24.07,58.33
exp011,system_02,hd,a04,ws-01_S1toS8,1560,2640,5880,10080,4200,15.48,26.19,58.33
exp011,system_02,hd,a04,ws-02_S1toS8,1560,2640,5880,10080,4200,15.48,26.19,58.33
exp011,system_02,hd,a04,ws-03_S1toS8,1560,2640,5880,10080,4200,15.48,26.19,58.33
exp011,system_02,hd,a04,ws-04_S1toS8,1560,2640,5880,10080,4200,15.48,26.19,58.33
exp012,system_02,hd,a06,ws-01_S1toS8,1409,2791,5880,10080,4200,13.98,27.69,58.33
exp012,system_02,hd,a06,ws-02_S1toS8,1409,2791,5880,10080,4200,13.98,27.69,58.33
exp012,system_02,hd,a06,ws-03_S1toS8,1409,2791,5880,10080,4200,13.98,27.69,58.33
exp012,system_02,hd,a06,ws-04_S1toS8,1409,2791,5880,10080,4200,13.98,27.69,58.33
exp013,system_02,balanced,a00,ws-01_S1toS8,1003,3197,5880,10080,4200,9.95,31.72,58.33
exp013,system_02,balanced,a00,ws-02_S1toS8,1422,2778,5880,10080,4200,14.11,27.56,58.33
exp013,system_02,balanced,a00,ws-03_S1toS8,1176,3024,5880,10080,4200,11.67,30.0,58.33
exp013,system_02,balanced,a00,ws-04_S1toS8,1232,2968,5880,10080,4200,12.22,29.44,58.33
exp014,system_02,balanced,a02,ws-01_S1toS8,858,3342,5880,10080,4200,8.51,33.15,58.33
exp014,system_02,balanced,a02,ws-02_S1toS8,1290,2910,5880,10080,4200,12.8,28.87,58.33
exp014,system_02,balanced,a02,ws-03_S1toS8,1083,3117,5880,10080,4200,10.74,30.92,58.33
exp014,system_02,balanced,a02,ws-04_S1toS8,1100,3100,5880,10080,4200,10.91,30.75,58.33
exp015,system_02,balanced,a04,ws-01_S1toS8,745,3455,5880,10080,4200,7.39,34.28,58.33
exp015,system_02,balanced,a04,ws-02_S1toS8,1151,3049,5880,10080,4200,11.42,30.25,58.33
exp015,system_02,balanced,a04,ws-03_S1toS8,971,3229,5880,10080,4200,9.63,32.03,58.33
exp015,system_02,balanced,a04,ws-04_S1toS8,982,3218,5880,10080,4200,9.74,31.92,58.33
exp016,system_02,balanced,a06,ws-01_S1toS8,738,3462,5880,10080,4200,7.32,34.35,58.33
exp016,system_02,balanced,a06,ws-02_S1toS8,1060,3140,5880,10080,4200,10.52,31.15,58.33
exp016,system_02,balanced,a06,ws-03_S1toS8,901,3299,5880,10080,4200,8.94,32.73,58.33
exp016,system_02,balanced,a06,ws-04_S1toS8,921,3279,5880,10080,4200,9.14,32.53,58.33
exp017,system_03,hd,a00,ws-01_S1S2,984,3216,5880,10080,4200,9.76,31.9,58.33
exp017,system_03,hd,a00,ws-02_S3S4,1896,2304,5880,10080,4200,18.81,22.86,58.33
