exp_id,system,system_type,division_type,num_stations,product_mix,automation_level,hd_count,tl_count,sa_count,rd_count,total_cars,hd_depth,tl_depth,sa_depth,rd_depth,total_planned_components,depth_degree,S1_BOSP,S2_BAT,S3_RT,S4_FT,S5_FAXS,S6_SSA,S7_CHS,S8_BSA,automation_degree,auto_step_instances,delivery_days,cars_per_day,interarrival_time,schedule_file,system_file,hd_file,tl_file,sa_file,rd_file,opening_hour,closing_hour,num_weeks,IND01,IND02,IND03,IND04,IND05,IND06,IND01_in_threshold,IND02_in_threshold,IND03_in_threshold,IND04_in_threshold,IND05_in_threshold,IND06_in_threshold,threshold_violations,is_feasible,IND01_normalized,IND02_normalized,IND03_normalized,IND04_normalized,IND05_normalized,IND06_normalized
exp001,system_01,line,labor,3,hd,a00,40,0,0,0,40,14,9,7,5,560,1.0,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_hd_a00.json,system_01.json,car_hd_a00.json,,,,7,17,1,61.74,59.54,8252.64,2262.02,1229360,47883.28,True,True,True,True,True,True,0,True,0.1,1.0,0.1,0.5,0.91,0.92
exp002,system_01,line,labor,3,hd,a02,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,1,1,1,0.29,160,5,8,1.0,sch_hd_a02.json,system_01.json,car_hd_a02.json,,,,7,17,1,56.37,53.98,7482.42,2163.22,1229725,47885.72,True,True,True,True,True,True,0,True,0.23,0.81,0.24,0.52,0.91,0.92
exp003,system_01,line,labor,3,hd,a04,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,2,1,2,0.57,320,5,8,1.0,sch_hd_a04.json,system_01.json,car_hd_a04.json,,,,7,17,1,56.14,53.09,7358.12,1567.68,1286960,50116.0,True,True,True,True,True,True,0,True,0.23,0.78,0.26,0.67,1.0,1.0
exp004,system_01,line,labor,3,hd,a06,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,2,2,2,2,0.71,400,5,8,1.0,sch_hd_a06.json,system_01.json,car_hd_a06.json,,,,7,17,1,49.42,46.85,6493.19,1105.0,1286960,50116.0,True,True,True,True,True,True,0,True,0.4,0.57,0.41,0.79,1.0,1.0
exp005,system_01,line,labor,3,balanced,a00,10,10,10,10,40,14,9,7,5,350,0.62,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_balanced_a00.json,system_01.json,car_hd_a00.json,car_tl_a00.json,car_sa_a00.json,car_rd_a00.json,7,17,1,41.85,40.5,5613.3,672.18,814950,30340.2,True,True,True,True,True,True,0,True,0.58,0.36,0.57,0.9,0.28,0.28
exp006,system_01,line,labor,3,balanced,a02,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,1,1,1,1,0.4,140,5,8,1.0,sch_balanced_a02.json,system_01.json,car_hd_a02.json,car_tl_a02.json,car_sa_a02.json,car_rd_a02.json,7,17,1,38.05,36.52,5061.1,563.75,814950,30340.2,True,True,True,True,True,True,0,True,0.67,0.22,0.67,0.92,0.28,0.28
exp007,system_01,line,labor,3,balanced,a04,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,1,2,1,2,0.63,220,5,8,1.0,sch_balanced_a04.json,system_01.json,car_hd_a04.json,car_tl_a04.json,car_sa_a04.json,car_rd_a04.json,7,17,1,32.2,30.55,4233.9,462.95,814950,30340.2,True,True,True,True,True,True,0,True,0.81,0.02,0.82,0.95,0.28,0.28
exp009,system_02,workshop,quantity,4,hd,a00,40,0,0,0,40,14,9,7,5,560,1.0,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_hd_a00.json,system_02.json,car_hd_a00.json,,,,7,17,1,63.6,46.0,8500.8,422.05,1286960,50116.0,True,True,True,True,True,True,0,True,0.05,0.54,0.05,0.96,1.0,1.0
exp010,system_02,workshop,quantity,4,hd,a02,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,1,1,1,0.29,160,5,8,1.0,sch_hd_a02.json,system_02.json,car_hd_a02.json,,,,7,17,1,58.8,42.24,7805.6,420.3,1286960,50116.0,True,True,True,True,True,True,0,True,0.17,0.41,0.18,0.96,1.0,1.0
exp011,system_02,workshop,quantity,4,hd,a04,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,2,1,2,0.57,320,5,8,1.0,sch_hd_a04.json,system_02.json,car_hd_a04.json,,,,7,17,1,52.4,37.14,6864.0,407.05,1286960,50116.0,True,True,True,True,True,True,0,True,0.32,0.24,0.35,0.96,1.0,1.0
