exp_id,system,step_id,step_name,product_mix,automation_level,product_type,n_components,total_electricity,total_circularity,total_profit,total_revenue,total_cost,mean_electricity,mean_circularity,mean_profit,mean_revenue,mean_cost
exp001,system_01,2,BAT,hd,a00,car_hd,40,2.4,8868.0,145673.2,146080,406.8,0.06,221.7,3641.83,3652.0,10.17
exp001,system_01,1,BOSP,hd,a00,car_hd,80,6.35,1007.2,60046.0,61200,1154.0,0.08,12.59,750.58,765.0,14.42
exp001,system_01,5_2_2,BSA,hd,a00,car_hd,68,11.77,325.72,60060.28,62084,2023.72,0.17,4.79,883.24,913.0,29.76
exp001,system_01,5_2_1,CHS,hd,a00,car_hd,34,5.78,7874.4,164552.18,165580,1027.82,0.17,231.6,4839.77,4870.0,30.23
exp001,system_01,5_1_1,FAX,hd,a00,car_hd,34,0.0,1521.16,44330.9,44336,5.1,0.0,44.74,1303.85,1304.0,0.15
exp001,system_01,5,FRONT_AXIS_GROUP,hd,a00,car_hd,40,8.0,3476.0,172554.0,173920,1366.0,0.2,86.9,4313.85,4348.0,34.15
exp001,system_01,4,FT,hd,a00,car_hd,80,8.0,4328.0,165506.4,166960,1453.6,0.1,54.1,2068.83,2087.0,18.17
exp001,system_01,5_2_2,RAX_HD,hd,a00,car_hd,34,0.0,2764.88,29574.9,29580,5.1,0.0,81.32,869.85,870.0,0.15
exp001,system_01,5,REAR_AXIS_GROUP,hd,a00,car_hd,40,0.0,11216.0,173914.0,173920,6.0,0.0,280.4,4347.85,4348.0,0.15
exp001,system_01,3,RT,hd,a00,car_hd,80,7.2,6336.0,179577.6,180880,1302.4,0.09,79.2,2244.72,2261.0,16.28
exp001,system_01,5_1_1,SSA,hd,a00,car_hd,68,12.24,165.92,22665.76,24820,2154.24,0.18,2.44,333.32,365.0,31.68
exp002,system_01,2,BAT,hd,a02,car_hd,40,2.4,8868.0,145673.2,146080,406.8,0.06,221.7,3641.83,3652.0,10.17
exp002,system_01,1,BOSP,hd,a02,car_hd,80,5.6,1007.2,60176.8,61200,1023.2,0.07,12.59,752.21,765.0,12.79
exp002,system_01,5_2_2,BSA,hd,a02,car_hd,68,11.77,325.72,60060.28,62084,2023.72,0.17,4.79,883.24,913.0,29.76
exp002,system_01,5_2_1,CHS,hd,a02,car_hd,34,5.78,7874.4,164552.18,165580,1027.82,0.17,231.6,4839.77,4870.0,30.23
exp002,system_01,5_1_1,FAX,hd,a02,car_hd,34,0.0,1521.16,44330.9,44336,5.1,0.0,44.74,1303.85,1304.0,0.15
exp002,system_01,5,FRONT_AXIS_GROUP,hd,a02,car_hd,40,8.0,3476.0,172554.0,173920,1366.0,0.2,86.9,4313.85,4348.0,34.15
exp002,system_01,4,FT,hd,a02,car_hd,80,4.0,4328.0,166262.4,166960,697.6,0.05,54.1,2078.28,2087.0,8.72
exp002,system_01,5_2_2,RAX_HD,hd,a02,car_hd,34,0.0,2764.88,29574.9,29580,5.1,0.0,81.32,869.85,870.0,0.15
exp002,system_01,5,REAR_AXIS_GROUP,hd,a02,car_hd,40,0.0,11216.0,173914.0,173920,6.0,0.0,280.4,4347.85,4348.0,0.15
exp002,system_01,3,RT,hd,a02,car_hd,80,6.4,6336.0,179740.8,180880,1139.2,0.08,79.2,2246.76,2261.0,14.24
exp002,system_01,5_1_1,SSA,hd,a02,car_hd,69,12.42,168.36,22999.08,25185,2185.92,0.18,2.44,333.32,365.0,31.68
exp003,system_01,2,BAT,hd,a04,car_hd,40,2.4,8868.0,145673.2,146080,406.8,0.06,221.7,3641.83,3652.0,10.17
exp003,system_01,1,BOSP,hd,a04,car_hd,80,5.6,1007.2,60176.8,61200,1023.2,0.07,12.59,752.21,765.0,12.79
