exp_id,system,step_id,components,product_mix,automation_level,product_type,n_components,total_electricity,total_circularity,total_profit,total_revenue,total_cost,mean_electricity,mean_circularity,mean_profit,mean_revenue,mean_cost
exp001,system_01,1,BOSP,hd,a00,car_hd,80,6.35,1007.2,60046.0,61200,1154.0,0.08,12.59,750.58,765.0,14.42
exp001,system_01,2,BAT,hd,a00,car_hd,40,2.4,8868.0,145673.2,146080,406.8,0.06,221.7,3641.83,3652.0,10.17
exp001,system_01,3,RT,hd,a00,car_hd,80,7.2,6336.0,179577.6,180880,1302.4,0.09,79.2,2244.72,2261.0,16.28
exp001,system_01,4,FT,hd,a00,car_hd,80,8.0,4328.0,165506.4,166960,1453.6,0.1,54.1,2068.83,2087.0,18.17
exp001,system_01,5,"FRONT_AXIS_GROUP, REAR_AXIS_GROUP",hd,a00,car_hd,80,8.0,14692.0,346468.0,347840,1372.0,0.1,183.65,4330.85,4348.0,17.15
exp001,system_01,5_1_1,"FAX, SSA",hd,a00,car_hd,102,12.24,1687.08,66996.66,69156,2159.34,0.12,16.54,656.83,678.0,21.17
exp001,system_01,5_2_1,CHS,hd,a00,car_hd,34,5.78,7874.4,164552.18,165580,1027.82,0.17,231.6,4839.77,4870.0,30.23
exp001,system_01,5_2_2,"BSA, RAX_HD",hd,a00,car_hd,102,11.77,3090.6,89635.18,91664,2028.82,0.12,30.3,878.78,898.67,19.89
exp002,system_01,1,BOSP,hd,a02,car_hd,80,5.6,1007.2,60176.8,61200,1023.2,0.07,12.59,752.21,765.0,12.79
exp002,system_01,2,BAT,hd,a02,car_hd,40,2.4,8868.0,145673.2,146080,406.8,0.06,221.7,3641.83,3652.0,10.17
exp002,system_01,3,RT,hd,a02,car_hd,80,6.4,6336.0,179740.8,180880,1139.2,0.08,79.2,2246.76,2261.0,14.24
exp002,system_01,4,FT,hd,a02,car_hd,80,4.0,4328.0,166262.4,166960,697.6,0.05,54.1,2078.28,2087.0,8.72
exp002,system_01,5,"FRONT_AXIS_GROUP, REAR_AXIS_GROUP",hd,a02,car_hd,80,8.0,14692.0,346468.0,347840,1372.0,0.1,183.65,4330.85,4348.0,17.15
exp002,system_01,5_1_1,"FAX, SSA",hd,a02,car_hd,103,12.42,1689.52,67329.98,69521,2191.02,0.12,16.4,653.69,674.96,21.27
exp002,system_01,5_2_1,CHS,hd,a02,car_hd,34,5.78,7874.4,164552.18,165580,1027.82,0.17,231.6,4839.77,4870.0,30.23
exp002,system_01,5_2_2,"BSA, RAX_HD",hd,a02,car_hd,102,11.77,3090.6,89635.18,91664,2028.82,0.12,30.3,878.78,898.67,19.89
exp003,system_01,1,BOSP,hd,a04,car_hd,80,5.6,1007.2,60176.8,61200,1023.2,0.07,12.59,752.21,765.0,12.79
exp003,system_01,2,BAT,hd,a04,car_hd,40,2.4,8868.0,145673.2,146080,406.8,0.06,221.7,3641.83,3652.0,10.17
exp003,system_01,3,RT,hd,a04,car_hd,80,6.4,6336.0,179740.8,180880,1139.2,0.08,79.2,2246.76,2261.0,14.24
exp003,system_01,4,FT,hd,a04,car_hd,80,4.0,4328.0,166262.4,166960,697.6,0.05,54.1,2078.28,2087.0,8.72
exp003,system_01,5,"FRONT_AXIS_GROUP, REAR_AXIS_GROUP",hd,a04,car_hd,80,9.5,14692.0,346206.4,347840,1633.6,0.12,183.65,4327.58,4348.0,20.42
exp003,system_01,5_1_1,"FAX, SSA",hd,a04,car_hd,120,11.84,1984.8,79357.97,81360,2002.03,0.1,16.54,661.32,678.0,16.68
exp003,system_01,5_2_1,CHS,hd,a04,car_hd,40,6.8,9264.0,193590.8,194800,1209.2,0.17,231.6,4839.77,4870.0,30.23
exp003,system_01,5_2_2,"BSA, RAX_HD",hd,a04,car_hd,120,9.6,3636.0,106229.2,107840,1610.8,0.08,30.3,885.24,898.67,13.42
exp004,system_01,1,BOSP,hd,a06,car_hd,80,5.6,1007.2,60176.8,61200,1023.2,0.07,12.59,752.21,765.0,12.79
exp004,system_01,2,BAT,hd,a06,car_hd,40,2.4,8868.0,145673.2,146080,406.8,0.06,221.7,3641.83,3652.0,10.17
exp004,system_01,3,RT,hd,a06,car_hd,80,6.4,6336.0,179740.8,180880,1139.2,0.08,79.2,2246.76,2261.0,14.24
exp004,system_01,4,FT,hd,a06,car_hd,80,4.0,4328.0,166262.4,166960,697.6,0.05,54.1,2078.28,2087.0,8.72
exp004,system_01,5,"FRONT_AXIS_GROUP, REAR_AXIS_GROUP",hd,a06,car_hd,80,5.2,14692.0,346892.4,347840,947.6,0.06,183.65,4336.16,4348.0,11.84
exp004,system_01,5_1_1,"FAX, SSA",hd,a06,car_hd,120,9.6,1984.8,79749.2,81360,1610.8,0.08,16.54,664.58,678.0,13.42
exp004,system_01,5_2_1,CHS,hd,a06,car_hd,40,6.62,9264.0,193656.5,194800,1143.5,0.17,231.6,4841.41,4870.0,28.59
exp004,system_01,5_2_2,"BSA, RAX_HD",hd,a06,car_hd,120,9.6,3636.0,106229.2,107840,1610.8,0.08,30.3,885.24,898.67,13.42
exp005,system_01,1,BOSP,balanced,a00,car_hd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp005,system_01,2,BAT,balanced,a00,car_hd,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp005,system_01,3,RT,balanced,a00,car_hd,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp005,system_01,4,FT,balanced,a00,car_hd,20,2.0,1082.0,41376.6,41740,363.4,0.1,54.1,2068.83,2087.0,18.17
exp005,system_01,5,"FRONT_AXIS_GROUP, REAR_AXIS_GROUP",balanced,a00,car_hd,20,2.0,3673.0,86617.0,86960,343.0,0.1,183.65,4330.85,4348.0,17.15
exp005,system_01,5_1_1,"FAX, SSA",balanced,a00,car_hd,30,3.6,496.2,19704.9,20340,635.1,0.12,16.54,656.83,678.0,21.17
exp005,system_01,5_2_1,CHS,balanced,a00,car_hd,10,1.7,2316.0,48397.7,48700,302.3,0.17,231.6,4839.77,4870.0,30.23
exp005,system_01,5_2_2,"BSA, RAX_HD",balanced,a00,car_hd,30,2.8,909.0,26478.7,26960,481.3,0.09,30.3,882.62,898.67,16.04
exp005,system_01,1,BOSP,balanced,a00,car_rd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp005,system_01,2,RT,balanced,a00,car_rd,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp005,system_01,3,CORE,balanced,a00,car_rd,10,1.7,3360.0,95347.7,95650,302.3,0.17,336.0,9534.77,9565.0,30.23
