system,step_id,product_type,component,branch_id,is_passive,mean_profit,std_profit,cumulative_profit,mean_revenue,std_revenue,cumulative_revenue,mean_cost,std_cost,cumulative_cost
system_01,0,car_hd,CAR,main,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system_01,1,car_hd,BOSP,main,False,752.11,0.41,752.11,765.0,0.0,765.0,12.89,0.41,12.89
system_01,2,car_hd,BAT,main,False,3641.83,0.0,4393.94,3652.0,0.0,4417.0,10.17,0.0,23.06
system_01,3,car_hd,RT,main,False,2246.25,0.91,6640.19,2261.0,0.0,6678.0,14.75,0.91,37.81
system_01,4,car_hd,FT,main,False,2075.92,4.23,8716.11,2087.0,0.0,8765.0,11.08,4.23,48.89
system_01,4,car_hd,AXIS_GROUP_COMBINED,main,False,0.0,0.0,8716.11,0.0,0.0,8765.0,0.0,0.0,48.89
system_01,5,car_hd,FRONT_AXIS_GROUP,main,False,4315.5,6.01,13031.6,4348.0,0.0,13113.0,32.5,6.01,81.4
system_01,5,car_hd,REAR_AXIS_GROUP,main,False,4347.85,0.0,17379.45,4348.0,0.0,17461.0,0.15,0.0,81.55
system_01,5_1_1,car_hd,SSA,front_axis,False,336.86,6.69,17716.31,365.0,0.0,17826.0,28.14,6.69,109.69
system_01,5_1_1,car_hd,FAX,front_axis,False,1303.85,0.0,19020.16,1304.0,0.0,19130.0,0.15,0.0,109.84
system_01,5_2_1,car_hd,CHS,rear_axis,False,4842.0,4.54,23862.16,4870.0,0.0,24000.0,28.0,4.54,137.84
system_01,5_2_2,car_hd,BSA,rear_axis,False,890.25,3.32,24752.42,913.0,0.0,24913.0,22.75,3.32,160.58
system_01,5_2_2,car_hd,RAX_HD,rear_axis,False,869.85,0.0,25622.27,870.0,0.0,25783.0,0.15,0.0,160.73
system_01,0,car_tl,CAR,main,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system_01,1,car_tl,BOSP,main,False,751.94,1.09,751.94,765.0,0.0,765.0,13.06,1.09,13.06
system_01,2,car_tl,BAT,main,False,3641.83,0.0,4393.77,3652.0,0.0,4417.0,10.17,0.0,23.23
system_01,3,car_tl,RT,main,False,2246.25,0.91,6640.02,2261.0,0.0,6678.0,14.75,0.91,37.98
system_01,4,car_tl,FT,main,False,2075.92,4.23,8715.94,2087.0,0.0,8765.0,11.08,4.23,49.07
system_01,4,car_tl,CRE,main,False,-0.15,0.0,8715.78,0.0,0.0,8765.0,0.15,0.0,49.22
system_01,0,car_sa,CAR,main,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system_01,1,car_sa,RT,main,False,2246.25,0.91,2246.25,2261.0,0.0,2261.0,14.75,0.91,14.75
system_01,2,car_sa,FT,main,False,2075.92,4.23,4322.17,2087.0,0.0,4348.0,11.08,4.23,25.83
system_01,3,car_sa,SSA,main,False,339.13,6.0,4661.3,365.0,0.0,4713.0,25.87,6.0,51.7
system_01,4,car_sa,BSA,main,False,889.54,5.07,5550.84,913.0,0.0,5626.0,23.46,5.07,75.16
system_01,4,car_sa,CSEB-NABS,main,False,2399.85,0.0,7950.69,2400.0,0.0,8026.0,0.15,0.0,75.31
system_01,0,car_rd,CAR,main,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system_01,1,car_rd,BOSP,main,False,752.21,0.0,752.21,765.0,0.0,765.0,12.79,0.0,12.79
system_01,2,car_rd,RT,main,False,2246.25,0.91,2998.46,2261.0,0.0,3026.0,14.75,0.91,27.54
system_01,3,car_rd,CORE,main,False,9537.6,5.07,12536.06,9565.0,0.0,12591.0,27.4,5.07,54.94
system_01,4,car_rd,BSA,main,False,887.91,8.04,13423.97,913.0,0.0,13504.0,25.09,8.04,80.03
system_01,4,car_rd,RAX_RD,main,False,4347.85,0.0,17771.82,4348.0,0.0,17852.0,0.15,0.0,80.18
system_02,0,car_hd,CAR,main,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system_02,1,car_hd,BOSP,main,False,752.21,0.0,752.21,765.0,0.0,765.0,12.79,0.0,12.79
system_02,2,car_hd,BAT,main,False,3641.83,0.0,4394.04,3652.0,0.0,4417.0,10.17,0.0,22.96
system_02,3,car_hd,RT,main,False,2246.25,0.91,6640.29,2261.0,0.0,6678.0,14.75,0.91,37.71
system_02,4,car_hd,FT,main,False,2075.92,4.23,8716.21,2087.0,0.0,8765.0,11.08,4.23,48.79
system_02,4,car_hd,AXIS_GROUP_COMBINED,main,False,0.0,0.0,8716.21,0.0,0.0,8765.0,0.0,0.0,48.79
system_02,5,car_hd,FRONT_AXIS_GROUP,main,False,4316.5,4.74,13032.71,4348.0,0.0,13113.0,31.5,4.74,80.29
system_02,5,car_hd,REAR_AXIS_GROUP,main,False,4347.85,0.0,17380.56,4348.0,0.0,17461.0,0.15,0.0,80.44
system_02,5_1_1,car_hd,SSA,front_axis,False,339.13,6.0,17719.69,365.0,0.0,17826.0,25.87,6.0,106.31
system_02,5_1_1,car_hd,FAX,front_axis,False,1303.85,0.0,19023.54,1304.0,0.0,19130.0,0.15,0.0,106.46
system_02,5_2_1,car_hd,CHS,rear_axis,False,4842.61,5.07,23866.14,4870.0,0.0,24000.0,27.4,5.07,133.86
system_02,5_2_2,car_hd,BSA,rear_axis,False,890.98,2.03,24757.12,913.0,0.0,24913.0,22.02,2.03,155.88
system_02,5_2_2,car_hd,RAX_HD,rear_axis,False,869.85,0.0,25626.97,870.0,0.0,25783.0,0.15,0.0,156.03
system_02,0,car_tl,CAR,main,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
